band_name,dec,oid,mjd,pixelFlags_bad,pixelFlags_saturated,psfFlux,psfFluxErr,psfFlux_flag,ra
g,-43.1199563476,170657517708247068,61235.4047037697,False,False,3631.5671,265.14984,False,10.1530410047
g,-43.119973327,170657517708247068,61235.404269188,False,False,4253.456,214.92456,False,10.1530393872
i,-43.1199700823,170657517708247068,61235.4023088873,False,False,4840.7866,375.10995,False,10.15304266
i,-43.119978452,170657517708247068,61235.401874719,False,False,5275.586,315.88968,False,10.1530343098
g,-43.1199676262,170657517708247068,61233.4019208796,False,False,2925.5535,112.078064,False,10.1530403121
