band_name,dec,oid,mjd,pixelFlags_bad,pixelFlags_saturated,psfFlux,psfFluxErr,psfFlux_flag,ra
i,-50.1957261546,170657518965489670,61235.4182463849,False,False,3698.6125,511.8096,False,59.7333340458
i,-50.1956943074,170657518965489670,61235.4178098047,False,False,3699.5044,544.8657,False,59.7331259016
g,-50.1957855958,170657518965489670,61235.4127394704,False,False,3021.5986,215.90448,False,59.7332688719
g,-50.1957793628,170657518965489670,61233.4121420251,False,False,1952.1475,165.43883,False,59.7332613461
