band_name,dec,oid,mjd,pixelFlags_bad,pixelFlags_saturated,psfFlux,psfFluxErr,psfFlux_flag,ra
g,-44.7006191763,170657517628555290,61235.4047037697,False,False,2176.5488,282.73242,False,8.7206797866
g,-44.7006007893,170657517628555290,61235.404269188,False,False,2347.1584,195.84416,False,8.7206595193
g,-44.7006140499,170657517628555290,61233.4019208796,False,False,1316.7676,103.3923,False,8.72066018
g,-44.7006205205,170657517628555290,61233.401480127,False,False,1606.7214,101.348236,False,8.720714653
