band,mjd,survey_id,ra,dec,oid,measurement_id,parentDiaSourceId,diaObjectId,psfFlux,psfFluxErr,psfFlux_flag,psfFlux_flag_edge,psfFlux_flag_noGoodPixels,scienceFlux,scienceFluxErr,has_stamp,visit,detector,ssObjectId,raErr,decErr,ra_dec_Cov,x,xErr,y,yErr,centroid_flag,apFlux,apFluxErr,apFlux_flag,apFlux_flag_apertureTruncated,isNegative,snr,psfLnL,psfChi2,psfNdata,trailFlux,trailFluxErr,trailRa,trailRaErr,trailDec,trailDecErr,trailLength,trailLengthErr,trailAngle,trailAngleErr,trailChi2,trailNdata,trail_flag_edge,dipoleMeanFlux,dipoleMeanFluxErr,dipoleFluxDiff,dipoleFluxDiffErr,dipoleLength,dipoleAngle,dipoleChi2,dipoleNdata,forced_PsfFlux_flag,forced_PsfFlux_flag_edge,forced_PsfFlux_flag_noGoodPixels,templateFlux,templateFluxErr,ixx,iyy,ixy,ixxPSF,iyyPSF,ixyPSF,shape_flag,shape_flag_no_pixels,shape_flag_not_contained,shape_flag_parent_source,extendedness,reliability,isDipole,dipoleFitAttempted,timeProcessedMjdTai,timeWithdrawnMjdTai,bboxSize,pixelFlags,pixelFlags_bad,pixelFlags_cr,pixelFlags_crCenter,pixelFlags_edge,pixelFlags_nodata,pixelFlags_nodataCenter,pixelFlags_interpolated,pixelFlags_interpolatedCenter,pixelFlags_offimage,pixelFlags_saturated,pixelFlags_saturatedCenter,pixelFlags_suspect,pixelFlags_suspectCenter,pixelFlags_streak,pixelFlags_streakCenter,pixelFlags_injected,pixelFlags_injectedCenter,pixelFlags_injected_template,pixelFlags_injected_templateCenter,glint_trail,band_name
3,61090.2484597937,lsst,186.91011386181495,8.014839705785743,170028526740701203,170028526608580692,0,170028526740701203,21573.92,425.35745,0,0,0,129116.68,429.08737,False,2026021800361,70,,5.12719e-06,5.314676e-06,-2.024943e-12,1142.6836,0.09016695,2865.0403,0.09782571,False,22570.559,789.9673,False,False,False,50.42993,,1705.8649,1681,21254.799,2.0053427,186.91011516836514,,8.014841513741333,,0.85611933,,107.725876,,,0,False,,,,,,,,0,False,False,False,106892.805,19.436436,0.32556057,0.33580008,0.031892166,0.32712862,0.3585255,0.03952599,False,False,False,False,0.010721289,0.9504922,False,False,61090.25026274209,,38,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
3,61090.24892803998,lsst,186.91010199651126,8.014842477338389,170028526740701203,170028526740701203,0,170028526740701203,21021.926,417.85425,0,0,0,123935.32,421.04333,False,2026021800362,66,,5.222503e-06,5.298616e-06,-1.1650264e-12,1863.9152,0.092667826,701.0686,0.0968402,False,23131.42,779.55884,False,False,False,50.082863,,1753.8507,1681,20838.646,0.7110007,186.9101039248925,,8.01484400125513,,0.95579106,,101.53787,,,0,False,,,,,,,,0,False,False,False,102428.81,24.932985,0.32547298,0.32906294,0.040818583,0.3203842,0.34661317,0.035338484,False,False,False,False,0.002911213,0.9470405,False,False,61090.25069874489,,38,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
3,61090.250326740745,lsst,186.9101134445951,8.014843737653905,170028526740701203,170028527165374510,0,170028526740701203,21015.385,413.98865,0,0,0,123620.69,416.0134,False,2026021800365,108,,5.4348907e-06,5.44639e-06,-2.0225815e-12,3672.7441,0.094631314,1980.5701,0.10124016,False,23735.549,778.7918,False,False,False,49.853897,,1712.5863,1681,19809.129,0.51776105,186.91011390297047,,8.01484396344972,,0.4456425,,-23.858307,,,0,False,,,,,,,,0,False,False,False,102078.28,21.630917,0.33954751,0.35236034,-0.0054250974,0.30798674,0.33749896,0.006247727,False,False,False,False,0.04092516,0.9461321,False,False,61090.252143908656,,39,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
3,61090.25122729094,lsst,186.91010829313961,8.01484150178444,170028526740701203,170028527435382786,0,170028526740701203,21812.57,406.64032,0,0,0,123188.55,412.1891,False,2026021800367,111,,4.9541977e-06,5.089344e-06,3.893014e-12,1279.9943,0.09730119,33.483044,0.083013535,False,24499.23,780.67334,False,False,False,53.304832,,1759.6294,1681,21883.588,0.46183497,186.91010989618565,,8.014842554015274,,1.1669204,,12.353123,,,0,False,,,,,,,,0,False,False,False,100263.47,19.560188,0.3862259,0.31495944,-0.051530205,0.31395945,0.2862025,-0.019128352,False,False,False,False,0.19161893,0.95489734,False,False,61090.25302647472,,36,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
3,61090.25215792912,lsst,186.91010099422172,8.014841735108384,170028526740701203,170028527703818297,0,170028526740701203,20666.762,398.45682,0,0,0,114938.914,401.70044,False,2026021800369,111,,4.985409e-06,4.729731e-06,-3.0903138e-12,3151.492,0.081144825,2279.369,0.093438774,False,21898.652,779.54553,False,False,False,51.56781,,1870.943,1681,20047.48,0.35848424,186.9101017583621,,8.014842023603448,,0.8907043,,-46.28797,,,0,False,,,,,,,,0,False,False,False,93721.83,18.02662,0.2643465,0.33107445,-0.011734733,0.27858508,0.30006936,-0.0039474326,False,False,False,False,0.0060607465,0.8967187,False,False,61090.25397985299,,32,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
3,61090.25262407558,lsst,186.91010802317493,8.014840961897855,170028526740701203,170028527838036006,0,170028526740701203,21236.824,401.15125,0,0,0,117265.82,403.5212,False,2026021800370,111,,5.3657463e-06,4.9935534e-06,-3.6535614e-12,1914.8914,0.08588948,1477.2733,0.10021006,False,25257.988,781.4639,False,False,False,52.779774,,1799.6027,1681,20567.234,0.24390681,186.91010795515032,,8.014841493893568,,0.77321154,,114.17815,,,0,False,,,,,,,,0,False,False,False,95345.664,19.315428,0.32172173,0.37224987,0.006215911,0.27908862,0.32330358,0.008805714,False,False,False,False,0.15984417,0.9656333,False,False,61090.25430639316,,40,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
3,61090.25309120117,lsst,186.91011522965377,8.014839902699604,170028526740701203,170028527970680902,0,170028526740701203,21276.35,378.5889,1,0,0,106303.15,380.25745,False,2026021800371,108,,4.3865243e-06,4.0902632e-06,-1.8835534e-12,510.9975,0.07141609,2795.274,0.08099139,True,22673.314,775.3506,True,False,False,56.083553,,1769.9935,1681,,,,,,,,,,,,0,False,,,,,,,,0,True,False,False,84547.51,19.393707,0.24777436,0.28260508,0.009913172,0.24132824,0.28125045,0.013172135,True,False,False,False,,0.96135247,False,False,61090.25501546818,,48,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
3,61090.25355513746,lsst,186.91011560140282,8.014838956017973,170028526740701203,170028528129015870,0,170028526740701203,20419.734,396.5535,0,0,0,113128.14,399.2459,False,2026021800372,154,,5.3636386e-06,4.5082866e-06,-5.029356e-12,1562.667,0.076446205,2061.4277,0.100446306,False,20612.443,783.109,False,False,False,51.32504,,1740.9451,1681,20574.129,1.2251863,186.91011707010998,,8.014838493763609,,1.0191737,,98.357574,,,0,False,,,,,,,,0,False,False,False,92207.36,30.6484,0.25987136,0.33903387,0.02585427,0.25355166,0.33882377,0.02357052,False,False,False,False,0.00090115017,0.9593941,False,False,61090.25532884087,,30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
3,61090.254021007175,lsst,186.91010534039188,8.014840765266227,170028526740701203,170028528243310702,0,170028526740701203,21457.21,432.53265,0,0,0,126436.766,433.78717,False,2026021800373,116,,6.3261896e-06,5.239884e-06,-6.1698142e-12,521.4729,0.090080746,3556.099,0.11747336,False,24262.48,805.4764,False,False,False,48.66736,,1749.7468,1681,21346.637,0.5382481,186.9101054552243,,8.014841209625292,,1.0677088,,-50.688576,,,0,False,,,,,,,,0,False,False,False,104571.945,20.926659,0.3315253,0.41631085,-0.028935127,0.28527617,0.3800311,-0.002540999,False,False,False,False,0.1204343,0.93645245,False,False,61090.25576794062,,37,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
1,61090.25633787492,lsst,186.9101210402962,8.01486509041694,170028526740701203,170028528487628819,0,170028526740701203,6617.025,223.92389,0,0,0,56935.742,224.76355,False,2026021800375,70,,9.732753e-06,9.812924e-06,-7.514969e-12,1870.9882,0.16901122,611.7003,0.18275344,False,6917.0186,387.93814,False,False,False,29.071903,,1729.6299,1681,6963.536,2.219719,186.91012173486402,,8.014866328338982,,1.4357102,,94.28773,,,0,False,,,,,,,,0,False,False,False,50121.625,9.6675205,0.41189113,0.4180978,0.09751649,0.37253934,0.44244045,0.04710307,False,False,False,False,0.003453625,0.64961356,False,False,61090.258047764364,,35,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,g
