band,mjd,survey_id,ra,dec,oid,measurement_id,parentDiaSourceId,diaObjectId,psfFlux,psfFluxErr,psfFlux_flag,psfFlux_flag_edge,psfFlux_flag_noGoodPixels,scienceFlux,scienceFluxErr,has_stamp,visit,detector,ssObjectId,raErr,decErr,ra_dec_Cov,x,xErr,y,yErr,centroid_flag,apFlux,apFluxErr,apFlux_flag,apFlux_flag_apertureTruncated,isNegative,snr,psfLnL,psfChi2,psfNdata,trailFlux,trailFluxErr,trailRa,trailRaErr,trailDec,trailDecErr,trailLength,trailLengthErr,trailAngle,trailAngleErr,trailChi2,trailNdata,trail_flag_edge,dipoleMeanFlux,dipoleMeanFluxErr,dipoleFluxDiff,dipoleFluxDiffErr,dipoleLength,dipoleAngle,dipoleChi2,dipoleNdata,forced_PsfFlux_flag,forced_PsfFlux_flag_edge,forced_PsfFlux_flag_noGoodPixels,templateFlux,templateFluxErr,ixx,iyy,ixy,ixxPSF,iyyPSF,ixyPSF,shape_flag,shape_flag_no_pixels,shape_flag_not_contained,shape_flag_parent_source,extendedness,reliability,isDipole,dipoleFitAttempted,timeProcessedMjdTai,timeWithdrawnMjdTai,bboxSize,pixelFlags,pixelFlags_bad,pixelFlags_cr,pixelFlags_crCenter,pixelFlags_edge,pixelFlags_nodata,pixelFlags_nodataCenter,pixelFlags_interpolated,pixelFlags_interpolatedCenter,pixelFlags_offimage,pixelFlags_saturated,pixelFlags_saturatedCenter,pixelFlags_suspect,pixelFlags_suspectCenter,pixelFlags_streak,pixelFlags_streakCenter,pixelFlags_injected,pixelFlags_injectedCenter,pixelFlags_injected_template,pixelFlags_injected_templateCenter,glint_trail,band_name
2,61090.34019544802,lsst,151.46901151280719,2.773511189769627,170028539284291661,170028539284291661,0,170028539284291661,-1998.1698,295.8044,0,0,0,8250.037,301.469,False,2026021800455,183,,3.8506092e-05,4.167585e-05,-8.5648544e-11,1855.9233,0.75578046,1008.5323,0.68782085,False,-1643.1652,479.121,False,False,True,6.7676926,,1575.2782,1681,-2075.4663,5.675961,151.4690063681596,,2.773523600326921,,1.6356192,,39.585365,,,0,False,,,,,,,,0,False,False,False,10416.687,7.1244035,0.19289018,0.30523,0.1370526,0.4974364,0.47045118,-0.022275964,False,False,False,False,0.9423595,0.15922573,False,False,61090.34197260131,,24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,r
3,61091.28458085817,lsst,151.46903293503522,2.7733746664143824,170028539284291661,170032928331399256,0,170028539284291661,-5005.61,386.16907,0,0,0,9441.369,387.7877,True,2026021900388,170,0.0,1.5569181e-05,1.5986801e-05,3.3729304e-11,506.97443,0.26387328,740.60583,0.30373254,False,-2974.2356,907.377,False,False,True,12.620561,,1656.7355,1681,-4932.215,10.126878,151.46902409978748,,2.7733724674368543,,0.7842278,,-136.94774,,,0,False,,,,,,,,0,False,False,False,14448.164,18.154362,0.17932318,0.23421983,-0.0032202003,0.19504268,0.2267165,0.0041060895,False,False,False,False,0.0020048704,0.5228602,False,False,61091.28619922379,,22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
3,61091.28504779168,lsst,151.46898718850932,2.7733460456827874,170028539284291661,170032928461946977,0,170028539284291661,-5471.529,603.61896,0,0,0,8847.978,619.4952,True,2026021900389,163,0.0,2.5892521e-05,2.4557767e-05,-1.196602e-10,678.46216,0.49685252,3503.1797,0.40804213,False,-4243.6606,1402.742,False,False,True,9.064636,,1665.1924,1681,-6026.2554,3.3584495,151.46899747130024,,2.7733437451371574,,1.5347353,,-20.565952,,,0,False,,,,,,,,0,False,False,False,14748.413,15.18832,0.32383734,0.21980019,0.11160393,0.20727074,0.24029298,0.009866758,False,False,False,False,0.22763407,0.35234547,False,False,61091.28657286853,,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
1,61094.17487627909,lsst,151.4691325119732,2.773420316437014,170028539284291661,170046102061449334,0,170028539284291661,-636.9425,123.01737,0,0,0,6516.995,119.36491,True,2026022200236,154,0.0,3.4435463e-05,3.3879372e-05,5.707134e-11,773.25684,0.6312108,149.6806,0.598732,False,-112.56068,243.61118,False,False,True,5.182612,,1760.8859,1681,-636.5869,5.638715,151.46912858305726,,2.7734043219603284,,0.78264683,,3.8348806,,,0,False,,,,,,,,0,False,False,False,7164.2715,8.12084,0.15950157,0.17068422,-0.027492162,0.30661404,0.21527052,-0.016697349,False,False,False,False,0.58566463,0.17250317,False,False,61094.17697576522,,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,g
2,61094.18973357497,lsst,151.46905949722426,2.7734507398834003,170028539284291661,170046105431048290,0,170028539284291661,831.7506,155.63324,0,0,0,10118.062,152.5346,True,2026022200261,181,0.0,1.8395753e-05,2.7655422e-05,1.603512e-10,2777.4038,0.51515543,3097.1763,0.30412567,False,703.7717,362.07404,False,False,False,5.013306,,1780.9304,1681,,,,,,,,,,,,0,False,,,,,,,,0,False,False,False,9226.167,29.669056,,,,0.17719597,0.14948303,0.008870173,True,False,False,False,,0.3495646,False,False,61094.191551016054,,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,r
2,61094.26523756652,lsst,151.4690129538094,2.77335214065285,170028539284291661,170046118422904953,0,170028539284291661,-3817.2185,170.02864,0,0,0,8440.406,165.1303,True,2026022200358,129,0.0,9.993543e-06,1.0458559e-05,2.5588776e-12,3203.9155,0.17930797,378.37656,0.18877177,False,-3833.055,356.32895,False,False,True,22.211393,,1700.5967,1681,-3792.9355,0.093388915,151.46901429326994,,2.7733553632763757,,0.8196807,,-21.95387,,,0,False,,,,,,,,0,False,False,False,12326.984,14.418012,0.24946289,0.26674393,0.028629066,0.23716943,0.25167122,0.033351474,False,False,False,False,0.018964892,0.6990399,False,False,61094.26700272705,,25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,r
4,61094.27258301657,lsst,151.46903643902945,2.773343718111933,170028539284291661,170046119120732355,0,170028539284291661,-4496.44,393.05753,0,0,0,11349.611,383.97113,True,2026022200363,180,0.0,1.528032e-05,2.0538855e-05,-1.9178374e-12,3110.7878,0.36981913,2633.9683,0.27535036,False,-6494.833,964.6316,False,False,True,11.060472,,1711.354,1681,-5028.5693,1.6801351,151.4690280371638,,2.773340308751055,,1.4988365,,8.206397,,,0,False,,,,,,,,0,False,False,False,15824.865,46.26346,0.39785472,0.17905647,0.034348056,0.2408919,0.15582053,-0.0004833423,False,False,False,False,0.64107084,0.745713,False,False,61094.274238373895,,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,z
1,61096.215109506855,lsst,151.46902227379053,2.773356316876251,170028539284291661,170054965815935118,0,170028539284291661,-1667.9204,130.60779,0,0,0,6826.0664,129.27753,True,2026022400740,184,0.0,1.738702e-05,1.5285148e-05,4.910568e-12,1690.802,0.2750348,3531.1487,0.31370392,False,-1502.2242,294.63968,False,False,True,12.735813,,1590.4878,1681,-1798.1343,1.2024962,151.46901239861253,,2.7733473194601554,,1.1076387,,60.349487,,,0,False,,,,,,,,0,False,False,False,8551.486,28.862799,0.18724148,0.2621353,0.045376584,0.18888475,0.18262528,0.009779873,False,False,False,False,0.18490386,0.5171041,False,False,61096.21678860067,,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,g
4,61096.22157286631,lsst,151.46900411746662,2.773349661306333,170028539284291661,170054967281844380,0,170028539284291661,-5068.0337,357.4162,0,0,0,10760.0625,345.95047,True,2026022400751,164,0.0,1.0520883e-05,1.0859445e-05,-1.5034087e-11,1020.4152,0.2051165,2186.2588,0.17917088,False,-4923.0645,1000.2924,False,False,True,13.752139,,1646.7218,1681,-5020.687,2.7855058,151.46900073846356,,2.7733532618202066,,0.8514951,,-12.533572,,,0,False,,,,,,,,0,False,False,False,15820.693,134.4506,0.14952941,0.10626544,0.027465716,0.13654372,0.14626174,0.023250137,False,False,False,False,0.031779945,0.7473908,False,False,61096.22333533156,,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,z
4,61096.222503448414,lsst,151.4690145600863,2.7733469348446205,170028539284291661,170054967550279853,0,170028539284291661,-5132.3296,338.31897,0,0,0,10798.851,326.5827,True,2026022400753,164,0.0,8.7608105e-06,8.771484e-06,-9.545593e-13,203.02336,0.15881836,1777.5486,0.15698367,False,-3620.2278,1003.46814,False,False,True,14.734388,,1818.5206,1681,-5033.4834,10.247113,151.46901467622968,,2.7733428330771606,,0.8108472,,4.532071,,,0,False,,,,,,,,0,False,False,False,15978.908,126.001625,0.08627207,0.09542087,0.032743886,0.122583695,0.1223648,0.016688423,False,False,False,False,0.18493207,0.7031647,False,False,61096.22421446811,,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,z
