band_name,dec,oid,mjd,pixelFlags_bad,pixelFlags_saturated,psfFlux,psfFluxErr,psfFlux_flag,ra
g,-44.1772670451,170657517579272230,61235.4047037697,False,False,2261.2622,259.1388,False,10.200492684
g,-44.1773074026,170657517579272230,61235.404269188,False,False,1732.2786,184.71254,False,10.2004834208
g,-44.1772594042,170657517579272230,61233.4019208796,False,False,1099.3441,108.96893,False,10.2004992811
g,-44.1772826163,170657517579272230,61233.401480127,False,False,1221.2786,105.319916,False,10.2004524685
