band_name,dec,oid,mjd,pixelFlags_bad,pixelFlags_saturated,psfFlux,psfFluxErr,psfFlux_flag,ra
i,-48.9432266199,170587117894238279,61235.4191836794,False,False,60344.715,593.5698,False,64.1853712682
i,-48.9432320682,170587117894238279,61235.4187436385,False,False,57389.043,726.8663,False,64.1853587547
g,-48.9432277388,170587117894238279,61235.4136223715,False,False,80311.7,474.59708,False,64.1853613169
g,-48.9432231294,170587117894238279,61235.4131808023,False,False,79268.92,489.00034,False,64.1853553492
z,-48.943230636,170587117894238279,61230.4225281093,False,False,42117.78,833.2977,False,64.1853438549
z,-48.9432250956,170587117894238279,61230.4220603329,False,False,43643.746,803.0751,False,64.1853660463
r,-48.943233573,170587117894238279,61230.4192362609,False,False,98996.33,496.93375,False,64.1853490713
r,-48.9432225272,170587117894238279,61230.4188049413,False,False,100541.06,472.93982,False,64.1853422114
i,-48.9432295128,170587117894238279,61227.420054281,False,False,69248.805,608.7944,False,64.1853723865
i,-48.9432103049,170587117894238279,61227.4196259142,False,False,68001.46,608.9157,False,64.1853486958
g,-48.9432244317,170587117894238279,61227.4154361562,False,False,104537.76,530.04376,False,64.1853487217
g,-48.9432191138,170587117894238279,61227.4149480592,False,False,104939.08,526.2169,False,64.1853400142
g,-48.9432376786,170587117894238279,61219.4250730653,False,False,82632.234,681.24817,False,64.185394716
i,-48.9432270367,170587117894238279,61217.4256391184,False,False,47768.94,497.97095,False,64.1853414821
i,-48.9432258342,170587117894238279,61217.4251461513,False,False,48535.098,507.30362,False,64.185358221
g,-48.9432292718,170587117894238279,61217.4227050725,False,False,60968.824,349.62683,False,64.1853267004
