band,mjd,survey_id,ra,dec,oid,measurement_id,parentDiaSourceId,diaObjectId,psfFlux,psfFluxErr,psfFlux_flag,psfFlux_flag_edge,psfFlux_flag_noGoodPixels,scienceFlux,scienceFluxErr,has_stamp,visit,detector,ssObjectId,raErr,decErr,ra_dec_Cov,x,xErr,y,yErr,centroid_flag,apFlux,apFluxErr,apFlux_flag,apFlux_flag_apertureTruncated,isNegative,snr,psfLnL,psfChi2,psfNdata,trailFlux,trailFluxErr,trailRa,trailRaErr,trailDec,trailDecErr,trailLength,trailLengthErr,trailAngle,trailAngleErr,trailChi2,trailNdata,trail_flag_edge,dipoleMeanFlux,dipoleMeanFluxErr,dipoleFluxDiff,dipoleFluxDiffErr,dipoleLength,dipoleAngle,dipoleChi2,dipoleNdata,forced_PsfFlux_flag,forced_PsfFlux_flag_edge,forced_PsfFlux_flag_noGoodPixels,templateFlux,templateFluxErr,ixx,iyy,ixy,ixxPSF,iyyPSF,ixyPSF,shape_flag,shape_flag_no_pixels,shape_flag_not_contained,shape_flag_parent_source,extendedness,reliability,isDipole,dipoleFitAttempted,timeProcessedMjdTai,timeWithdrawnMjdTai,bboxSize,pixelFlags,pixelFlags_bad,pixelFlags_cr,pixelFlags_crCenter,pixelFlags_edge,pixelFlags_nodata,pixelFlags_nodataCenter,pixelFlags_interpolated,pixelFlags_interpolatedCenter,pixelFlags_offimage,pixelFlags_saturated,pixelFlags_saturatedCenter,pixelFlags_suspect,pixelFlags_suspectCenter,pixelFlags_streak,pixelFlags_streakCenter,pixelFlags_injected,pixelFlags_injectedCenter,pixelFlags_injected_template,pixelFlags_injected_templateCenter,glint_trail,band_name
3,61090.04758412875,lsst,62.49405358430502,-46.37481153127308,170028485730369699,170028485730369699,0,170028485730369699,-7011.8994,294.68332,0,0,0,69344.125,294.09695,True,2026021800056,181,0,1.1754216e-05,9.071027e-06,-9.796234e-12,3423.755,0.21301042,2895.5435,0.16183741,False,-9133.844,648.6914,False,False,True,23.763105,,1715.7769,1681,-7482.223,1.8574473,62.49403483067833,,-46.37481815894649,,1.5136396,,-102.66839,,,0,False,,,,,,,,0,False,False,False,76485.625,22.346436,0.43293026,0.27308333,-0.0797721,0.23423773,0.21109295,0.0018370996,False,False,False,False,0.852144,0.45874575,False,False,61090.04920724023,,34,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
3,61090.04845547461,lsst,62.493997497303184,-46.37484557376585,170028485730369699,170028485999853674,0,170028485730369699,-8119.718,306.81198,0,0,0,76931.375,304.6913,True,2026021800058,183,0,1.0294735e-05,1.0032185e-05,-2.4382156e-13,3473.5742,0.18540591,88.94561,0.18083651,False,-11054.953,659.5295,False,False,True,25.879963,,1736.9,1681,-8374.006,5.6509295,62.49398929426222,,-46.374855956183765,,1.337683,,-140.86755,,,0,False,,,,,,,,0,False,False,False,85165.08,21.807474,0.34650087,0.40277055,-0.07943854,0.2360668,0.20310447,-0.0058308765,False,False,False,False,0.9355862,0.50966346,False,False,61090.05026572276,,31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
3,61090.053544324786,lsst,62.49408498714978,-46.374814627219784,170028485730369699,170028486265667897,0,170028485730369699,-6352.3364,289.7763,0,0,0,65288.89,288.95154,True,2026021800060,178,0,1.2621836e-05,1.1836295e-05,8.082484e-13,2955.0938,0.22736435,2437.5225,0.21360014,False,-8094.193,659.58875,False,False,True,20.845627,,1687.278,1681,-6306.131,9.472642,62.494092790820474,,-46.37483279395119,,1.1035576,,-32.224167,,,0,False,,,,,,,,0,False,False,False,71759.875,32.26309,0.31459337,0.37064168,0.047966976,0.20945296,0.20025758,-0.0042792866,False,False,False,False,0.90209997,0.467162,False,False,61090.05551952431,,24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
3,61090.05440873108,lsst,62.494027562943685,-46.374802409624344,170028485730369699,170028486532005995,0,170028485730369699,-6298.7866,313.7312,0,0,0,81498.08,314.66794,True,2026021800062,174,0,1.4907377e-05,1.1964172e-05,1.1129853e-11,3365.5098,0.26932397,1320.4872,0.2145518,False,-7268.976,639.1386,False,False,True,19.97671,,1727.2424,1681,-6565.1973,7.4321804,62.494010583830146,,-46.37480310150475,,1.4057461,,-110.65915,,,0,False,,,,,,,,0,False,False,False,87943.2,17.524374,0.4108187,0.23694344,-0.041629672,0.2609883,0.2600743,-0.0022403137,False,False,False,False,0.3201139,0.44658637,False,False,61090.05641512711,,29,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
3,61090.055275032704,lsst,62.49406081850416,-46.37482619608252,170028485730369699,170028486802538795,0,170028485730369699,-6319.7227,315.83597,0,0,0,78537.05,314.39322,True,2026021800064,178,0,1.1784955e-05,1.1807219e-05,-1.661074e-13,472.9851,0.21222861,2092.199,0.21310534,False,-7071.5684,665.0363,False,False,True,19.634844,,1644.3214,1681,-6024.51,0.035386138,62.49406358243394,,-46.37482608018506,,0.62251496,,-164.97548,,,0,False,,,,,,,,0,False,False,False,84989.266,20.571402,0.25695378,0.2743251,-0.0143237375,0.24040961,0.23913115,-0.007806146,False,False,False,False,0.067604,0.3830127,False,False,61090.05722741138,,27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
3,61090.056141041365,lsst,62.49409119133424,-46.37480695053515,170028485730369699,170028487072022757,0,170028485730369699,-6241.1445,293.99414,0,0,0,70431.31,292.7726,True,2026021800066,180,0,1.0600669e-05,1.10254605e-05,-3.6731907e-12,1594.591,0.18976457,1659.5526,0.19973344,False,-7080.5264,643.4207,False,False,True,21.005314,,1789.6808,1681,-5845.984,2.576166,62.49408809325102,,-46.37480604109486,,0.64118314,,-49.50082,,,0,False,,,,,,,,0,False,False,False,76783.445,22.587683,0.21627024,0.23447664,0.0154554825,0.23248829,0.22120689,-0.006804626,False,False,False,False,0.0002397963,0.39019004,False,False,61090.05807581796,,28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
3,61090.057011163546,lsst,62.49406729643233,-46.37483447323686,170028485730369699,170028487337836681,0,170028485730369699,-6005.2134,294.901,0,0,0,72931.95,293.80914,True,2026021800068,175,0,1.0918336e-05,1.047829e-05,6.050559e-12,2978.3682,0.19899227,1067.0962,0.18634887,False,-6490.5654,651.57635,False,False,True,20.504076,,1659.4414,1681,-5946.6353,4.3773217,62.49406632982855,,-46.3748374444249,,0.9248314,,-77.01204,,,0,False,,,,,,,,0,False,False,False,79056.2,26.528126,0.23307385,0.21685348,0.038421478,0.22297174,0.20021948,-0.008480544,False,False,False,False,0.020929754,0.37514538,False,False,61090.05887083584,,24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
3,61090.05877432537,lsst,62.49404821060417,-46.37482474431381,170028485730369699,170028487874707605,0,170028485730369699,-6583.7744,293.71405,0,0,0,71561.24,292.26996,True,2026021800072,175,0,1.1409807e-05,9.978277e-06,3.7653974e-11,1669.5457,0.22451477,1296.276,0.15533115,False,-7036.172,651.2206,False,False,True,21.345846,,1826.5967,1681,-6762.057,2.7443635,62.49404756910804,,-46.37482571189235,,1.2311325,,-122.62069,,,0,False,,,,,,,,0,False,False,False,78321.19,28.179462,0.31985092,0.1718951,0.0034080434,0.23201308,0.19754271,0.00020406314,False,False,False,False,0.10662545,0.38687342,False,False,61090.060690024024,,26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
3,61090.05963904271,lsst,62.49406639266514,-46.37482136954849,170028485730369699,170028488138948717,0,170028485730369699,-6018.794,348.83405,0,0,0,95231.7,353.37775,True,2026021800074,167,0,1.5880081e-05,1.504433e-05,7.476485e-11,3970.227,0.31965804,1696.055,0.23047179,False,-5984.324,661.4891,False,False,True,17.33313,,1707.7358,1681,-6109.8228,3.176063,62.49406081526533,,-46.37482325753636,,1.2596896,,-128.17026,,,0,False,,,,,,,,0,False,False,False,101360.95,19.193342,0.39284465,0.24288335,0.0051705893,0.32143146,0.2731723,0.010819353,False,False,False,False,0.035000876,0.3044476,False,False,61090.061558246816,,27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
1,61090.06733600151,lsst,62.49412643169287,-46.37483174186272,170028485730369699,170028490022191222,0,170028485730369699,-1235.276,175.96613,0,0,0,29261.498,165.94633,True,2026021800088,175,0,2.848295e-05,3.39118e-05,-1.1070954e-10,3076.9568,0.50210935,2069.6467,0.61995476,False,-1271.0918,352.41232,False,False,True,7.1380777,,1662.5544,1681,-1525.3699,2.247226,62.494114402357624,,-46.37485297305237,,2.2540042,,-33.970234,,,0,False,,,,,,,,0,False,False,False,30535.768,32.03696,0.16636457,0.6514054,0.16788083,0.29745108,0.23628876,-0.003907832,False,False,False,False,0.8491887,0.22328418,False,False,61090.06906668366,,21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,g
