band_name,dec,oid,mjd,pixelFlags_bad,pixelFlags_saturated,psfFlux,psfFluxErr,psfFlux_flag,ra
g,-44.8454240991,170657517362217028,61235.4047037697,False,False,1880.9458,292.81387,False,8.4285307136
g,-44.8454148442,170657517362217028,61235.404269188,False,False,2302.1157,199.47632,False,8.428503996
i,-44.845398794,170657517362217028,61235.4023088873,False,False,2648.0718,397.84744,False,8.428515362
i,-44.8454168828,170657517362217028,61235.401874719,False,False,2977.8518,323.18552,False,8.4285363466
g,-44.8454136479,170657517362217028,61233.4019208796,False,False,1091.3859,105.1148,False,8.4285208002
g,-44.8454578577,170657517362217028,61233.401480127,False,False,1112.2373,104.36422,False,8.4285340127
i,-44.8453918116,170657517362217028,61233.3992210788,False,False,1740.1877,267.68024,False,8.4285619114
