band,mjd,survey_id,ra,dec,oid,measurement_id,parentDiaSourceId,diaObjectId,psfFlux,psfFluxErr,psfFlux_flag,psfFlux_flag_edge,psfFlux_flag_noGoodPixels,scienceFlux,scienceFluxErr,has_stamp,visit,detector,ssObjectId,raErr,decErr,ra_dec_Cov,x,xErr,y,yErr,centroid_flag,apFlux,apFluxErr,apFlux_flag,apFlux_flag_apertureTruncated,isNegative,snr,psfLnL,psfChi2,psfNdata,trailFlux,trailFluxErr,trailRa,trailRaErr,trailDec,trailDecErr,trailLength,trailLengthErr,trailAngle,trailAngleErr,trailChi2,trailNdata,trail_flag_edge,dipoleMeanFlux,dipoleMeanFluxErr,dipoleFluxDiff,dipoleFluxDiffErr,dipoleLength,dipoleAngle,dipoleChi2,dipoleNdata,forced_PsfFlux_flag,forced_PsfFlux_flag_edge,forced_PsfFlux_flag_noGoodPixels,templateFlux,templateFluxErr,ixx,iyy,ixy,ixxPSF,iyyPSF,ixyPSF,shape_flag,shape_flag_no_pixels,shape_flag_not_contained,shape_flag_parent_source,extendedness,reliability,isDipole,dipoleFitAttempted,timeProcessedMjdTai,timeWithdrawnMjdTai,bboxSize,pixelFlags,pixelFlags_bad,pixelFlags_cr,pixelFlags_crCenter,pixelFlags_edge,pixelFlags_nodata,pixelFlags_nodataCenter,pixelFlags_interpolated,pixelFlags_interpolatedCenter,pixelFlags_offimage,pixelFlags_saturated,pixelFlags_saturatedCenter,pixelFlags_suspect,pixelFlags_suspectCenter,pixelFlags_streak,pixelFlags_streakCenter,pixelFlags_injected,pixelFlags_injectedCenter,pixelFlags_injected_template,pixelFlags_injected_templateCenter,glint_trail,band_name
3,61090.180597784965,lsst,151.40966086558768,2.296274793134114,170028510548066453,170028510548066453,0,170028510548066453,-2543.1375,258.18448,0,0,0,7929.9004,254.82849,True,2026021800241,157,0.0,1.9336696e-05,1.909003e-05,1.39584715e-11,569.6127,0.35329372,3071.8962,0.33916798,False,-2648.6792,582.94824,False,False,True,9.685671,,1584.8523,1681,-2471.961,4.709723,151.4096641475089,,2.2962730575826686,,0.66795164,,29.666904,,,0,False,,,,,,,,0,False,False,False,10483.531,14.493635,0.19617714,0.17155625,-0.015467289,0.2719349,0.18713522,-0.009504523,False,False,False,False,0.20367295,0.4799593,False,False,61090.18225801375,,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
3,61090.18106558244,lsst,151.40965166966524,2.2962711218882617,170028510548066453,170028510680187037,0,170028510548066453,-2359.9998,249.50415,0,0,0,8064.644,244.83281,False,2026021800242,153,,5.0494364e-05,4.4785003e-05,9.856982e-10,610.41394,1.0349267,653.8147,0.63776684,False,-3773.2495,572.107,False,False,True,9.270046,,1610.5094,1681,-2592.0842,4.057672,151.4096495505807,,2.29627559324976,,1.456756,,34.023117,,,0,False,,,,,,,,0,False,False,False,10388.292,13.92697,0.4000869,0.23297215,-0.06390881,0.23947443,0.17951643,-0.003919984,False,False,False,False,0.7454887,0.55747885,False,False,61090.18269728948,,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
3,61090.18153057039,lsst,151.40964837509864,2.2962185221743723,170028510548066453,170028510815977579,0,170028510548066453,-2684.71,273.82837,0,0,0,7414.7397,270.02686,False,2026021800243,156,,4.9633443e-05,4.515636e-05,1.3230573e-09,1550.0266,1.0799154,1081.485,0.54362816,False,-3813.8293,580.51215,False,False,True,9.541127,,1706.1677,1681,-3215.9578,14.862953,151.40966850251792,,2.2962360072737833,,2.0604455,,69.61205,,,0,False,,,,,,,,0,False,False,False,10131.652,11.999631,0.5924257,0.23753834,0.14903265,0.30899402,0.20816395,-0.0029877357,False,False,False,False,0.90640503,0.57444024,False,False,61090.183138748034,,23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
3,61090.181996839354,lsst,151.40965518695504,2.296277835460376,170028510548066453,170028510963826827,0,170028510548066453,-2514.4275,248.13602,0,0,0,7838.134,243.72472,False,2026021800244,182,,2.2728524e-05,2.2261656e-05,2.2399287e-10,1379.507,0.48689422,1758.8569,0.3025857,False,-3293.443,592.42834,False,False,True,9.824258,,1643.9137,1681,-2790.9612,22.796627,151.40964975541831,,2.2962843808622315,,1.5013849,,79.409904,,,0,False,,,,,,,,0,False,False,False,10402.919,14.101436,0.28880745,0.19092466,0.10982064,0.21712616,0.1688184,0.007480688,False,False,False,False,0.248384,0.507934,False,False,61090.183650753264,,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
3,61090.182463713754,lsst,151.40965807512384,2.296270420583871,170028510548066453,170028511082315897,0,170028510548066453,-2505.3862,252.08418,0,0,0,7886.9053,248.55983,False,2026021800245,152,,1.980317e-05,1.9768004e-05,-2.4580725e-11,3029.84,0.345071,1457.3428,0.36742237,False,-2772.954,577.4819,False,False,True,9.906825,,1673.3082,1681,-2607.0059,44.113174,151.40964998716092,,2.2962879966237755,,1.2762308,,90.90618,,,0,False,,,,,,,,0,False,False,False,10440.593,13.323032,0.17404255,0.18822706,0.08561789,0.2399814,0.18214673,0.0013617488,False,False,False,False,0.10081732,0.48218927,False,False,61090.1841711694,,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
3,61090.182928447764,lsst,151.40963950881297,2.2962379537912265,170028510548066453,170028511216009401,0,170028510548066453,-2215.188,231.47908,0,0,0,7798.257,225.76646,False,2026021800246,151,,3.5825084e-05,3.8796396e-05,7.104423e-10,3748.1902,0.8279831,2704.123,0.4681064,False,-2404.201,563.2408,False,False,True,9.611438,,1683.0383,1681,-2689.3804,11.141602,151.40964435820933,,2.296247648545228,,1.727066,,61.85118,,,0,False,,,,,,,,0,False,False,False,10047.972,12.730622,0.4250421,0.1883118,0.1084631,0.19393292,0.17253427,0.0048261094,False,False,False,False,0.87531406,0.5366481,False,False,61090.184872037826,,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
3,61090.18339506337,lsst,151.40965013473973,2.2962663104873284,170028510548066453,170028511350227087,0,170028510548066453,-2607.0815,247.3363,0,0,0,7815.823,242.34094,False,2026021800247,151,,2.3320705e-05,2.2423392e-05,-8.055102e-11,2745.7927,0.3778156,2963.5605,0.4435915,False,-3181.025,566.1682,False,False,True,10.466284,,1635.5424,1681,-2750.9133,2.3539274,151.40964960602219,,2.2962597814522856,,1.236564,,-37.548893,,,0,False,,,,,,,,0,False,False,False,10447.5625,13.063653,0.17801751,0.3084342,-0.036961865,0.2188241,0.18866746,-0.0028036032,False,False,False,False,0.17425412,0.54392856,False,False,61090.185055707036,,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
3,61090.18385856578,lsst,151.40965371136065,2.296275709205528,170028510548066453,170028511502270617,0,170028510548066453,-2443.4597,243.97972,0,0,0,7992.322,238.894,False,2026021800248,185,,2.4262574e-05,2.1742464e-05,-1.5126388e-10,2991.9185,0.34609595,573.93097,0.474646,False,-3278.2402,572.96387,False,False,True,10.056625,,1781.3915,1681,-2617.5732,10.59922,151.40965330104703,,2.2962681907702684,,1.2228167,,-49.080345,,,0,False,,,,,,,,0,False,False,False,10391.123,14.267156,0.12878929,0.27588707,-0.017065985,0.20683655,0.1817663,0.00370362,False,False,False,False,0.008302762,0.54232514,False,False,61090.185536573794,,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
3,61090.18432797135,lsst,151.40966483372682,2.2962734541830483,170028510548066453,170028511634391173,0,170028510548066453,-2537.14,227.12535,0,0,0,7855.171,221.51184,False,2026021800249,181,,1.5963447e-05,1.961181e-05,1.2763633e-10,2560.7424,0.38750142,196.93416,0.23940673,False,-2196.8174,561.2604,False,False,True,11.025365,,1721.1053,1681,-2659.2856,7.3609695,151.4096682248516,,2.2962728465974536,,1.2198298,,32.569138,,,0,False,,,,,,,,0,False,False,False,10389.785,13.378549,0.24792448,0.09207521,0.0027288343,0.17773063,0.16551296,-0.00058869156,False,False,False,False,0.00038375478,0.45250124,False,False,61090.18621464439,,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
3,61090.18479328063,lsst,151.40965859241828,2.2962614478122245,170028510548066453,170028511752880301,0,170028510548066453,-2349.3315,233.10982,0,0,0,8055.4873,229.09842,True,2026021800250,151,0.0,2.0246316e-05,2.324629e-05,1.0121913e-10,463.2873,0.43936715,3104.8577,0.33925253,False,-2538.6775,562.773,False,False,True,10.081375,,1686.4844,1681,-2528.6133,7.539131,151.40965736515957,,2.2962664075392274,,1.2564409,,11.632227,,,0,False,,,,,,,,0,False,False,False,10406.537,12.664883,0.29156995,0.16103122,-0.04420007,0.18633671,0.18156421,-0.0036601652,False,False,False,False,0.21648932,0.51678324,False,False,61090.186643075445,,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
